index,gene_symbol-0,n_cells-0,n_cells-1,means,dispersions,dispersions_norm
SPSB1,SPSB1,605,12,0.023315845,0.21417564,-0.22555801
SLC25A33,SLC25A33,927,98,0.039307445,0.2140437,-0.22595239
CTNNBIP1,CTNNBIP1,852,169,0.039460234,1.3283238,3.1047623
RBP7,RBP7,156,184,0.018520223,0.78979284,1.4950298
APITD1,APITD1,495,34,0.020709557,0.27589938,-0.041058466
PEX14,PEX14,290,51,0.013485533,0.26141092,-0.08436618
CASZ1,CASZ1,74,7,0.0033293734,0.21586232,-0.22051634
TARDBP,TARDBP,1744,181,0.07095448,0.30744123,0.053223863
SRM,SRM,2329,355,0.123145975,0.61178,0.96292835
EXOSC10,EXOSC10,519,97,0.023168532,0.21733448,-0.21611588
UBIAD1,UBIAD1,632,111,0.030127464,0.5891629,0.89532316
FBXO2,FBXO2,31,16,0.0018871741,0.2749733,-0.04382662
FBXO44,FBXO44,197,83,0.01143738,0.2311084,-0.174944
FBXO6,FBXO6,3196,147,0.13554874,0.22321327,-0.19854347
DRAXIN,DRAXIN,18,7,0.0009958646,0.37946293,0.26850522
CLCN6,CLCN6,102,29,0.0053569917,0.6987799,1.2229813
KIAA2013,KIAA2013,336,62,0.01528523,0.51013327,0.6590943
MFN2,MFN2,243,65,0.011746426,0.26006874,-0.08837811
TNFRSF1B,TNFRSF1B,2527,379,0.11513783,0.8141763,1.5679148
PRDM2,PRDM2,1042,177,0.048002675,0.40833688,0.35481286
RP3-467K16.4,RP3-467K16.4,24,5,0.0015862494,0.45573103,0.4964796
EFHD2,EFHD2,2585,523,0.12235625,0.47790653,0.56276476
CASP9,CASP9,230,37,0.011580452,0.28290334,-0.020122793
AGMAT,AGMAT,148,43,0.008197424,0.25133434,-0.11448628
DDI2,DDI2,355,37,0.015964577,1.0548077,2.2871904
RP11-169K16.9,RP11-169K16.9,567,143,0.02659923,0.2761796,-0.040220823
SPEN,SPEN,855,74,0.033150252,0.26025254,-0.08782873
ZBTB17,ZBTB17,446,47,0.018843038,0.22039205,-0.20697644
FBXO42,FBXO42,328,65,0.014292442,0.2590942,-0.09129111
SZRD1,SZRD1,2302,237,0.09543888,0.21395159,-0.22622773
NECAP2,NECAP2,4513,490,0.19749598,0.26387668,-0.076995745
RP4-798A10.7,RP4-798A10.7,18,3,0.00096751854,0.28593695,-0.011054981
CROCCP2,CROCCP2,405,127,0.022756075,0.48739028,0.5911128
ATP13A2,ATP13A2,262,65,0.012695489,0.2327835,-0.16993694
SDHB,SDHB,3936,581,0.18285936,1.49593,3.6057568
RCC2,RCC2,345,87,0.016467834,0.22795592,-0.18436712
EMC1,EMC1,326,30,0.015463899,0.4747666,0.5533792
MRTO4,MRTO4,904,132,0.044756327,0.30434987,0.043983407
AKR7A2,AKR7A2,1406,356,0.06536024,0.22707744,-0.18699302
CAPZB,CAPZB,8347,1500,0.40171388,0.67332876,0.36163604
MINOS1-NBL1,MINOS1-NBL1,8,4,0.00060118525,0.30269876,0.03904805
NBL1,NBL1,148,10,0.006527902,0.34938538,0.17859986
TMCO4,TMCO4,120,31,0.006178502,0.42929277,0.41745248
CAMK2N1,CAMK2N1,60,7,0.0030470677,1.1786325,2.6573174
CDA,CDA,272,393,0.03515671,1.273752,2.9416409
PINK1,PINK1,297,62,0.014017624,0.5001226,0.62917125
DDOST,DDOST,3011,508,0.13213776,0.32881573,0.117114745
HP1BP3,HP1BP3,3213,317,0.13412146,0.5005846,0.6305522
ECE1,ECE1,503,98,0.023559965,0.37764078,0.2630586
USP48,USP48,1124,147,0.046965204,0.2995445,0.029619629
LINC00339,LINC00339,139,41,0.0072156773,0.22881278,-0.18180586
C1QA,C1QA,184,36,0.013375931,0.7431178,1.3555126
C1QC,C1QC,40,5,0.0024038113,0.6551068,1.0924373
C1QB,C1QB,112,17,0.014543146,1.5034846,3.628339
HNRNPR,HNRNPR,5241,560,0.22903074,0.37704876,0.26128897
ZNF436,ZNF436,43,6,0.0029718322,1.8357583,4.6215444
TCEA3,TCEA3,53,106,0.007088895,0.2876432,-0.0059548197
ID3,ID3,3308,176,0.2258956,1.5499035,3.7670906
MDS2,MDS2,64,53,0.0054998496,0.7875255,1.4882524
PITHD1,PITHD1,2210,365,0.105918884,0.8423142,1.6520222
HMGCL,HMGCL,713,137,0.036228105,1.2982942,3.0150006
FUCA1,FUCA1,1925,102,0.10938386,0.6274851,1.0098728
CNR2,CNR2,45,20,0.0028514594,0.22179157,-0.20279312
SRSF10,SRSF10,1334,129,0.05650186,0.2285918,-0.18246642
STPG1,STPG1,78,27,0.004318252,0.30697173,0.051820453
NIPAL3,NIPAL3,881,162,0.04144887,0.35374212,0.19162269
RCAN3,RCAN3,1687,294,0.08090589,0.4055608,0.3465148
SRRM1,SRRM1,4992,470,0.21536505,0.32040185,0.09196466
RUNX3,RUNX3,1696,229,0.07757316,0.27842593,-0.033506304
C1orf63,C1orf63,7494,490,0.314761,0.46910566,-0.199334
TMEM57,TMEM57,603,69,0.02526084,0.2444832,-0.13496514
LDLRAP1,LDLRAP1,844,338,0.051805466,1.9909767,5.0855103
RP11-70P17.1,RP11-70P17.1,15,27,0.0018555996,0.7252539,1.3021152
MAN1C1,MAN1C1,145,24,0.0076162545,0.23219432,-0.17169805
RP1-187B23.1,RP1-187B23.1,314,24,0.01324416,0.3714993,0.24470098
STMN1,STMN1,2044,196,0.09623766,0.78096384,1.4686389
PDIK1L,PDIK1L,211,30,0.01037244,1.813359,4.5545897
ZNF593,ZNF593,1027,167,0.05224246,0.6149164,0.9723034
CD52,CD52,9523,2409,0.68911433,1.1392876,0.48574466
ZNF683,ZNF683,274,39,0.0098371925,0.6083812,0.952769
DHDDS,DHDDS,416,48,0.01806384,0.2327238,-0.17011537
NUDC,NUDC,6302,584,0.2855764,0.49127483,-0.13843863
TMEM222,TMEM222,694,167,0.035194483,0.50657266,0.6484512
SYTL1,SYTL1,384,455,0.03634171,0.217294,-0.21623689
WASF2,WASF2,4738,525,0.19730319,0.22834478,-0.18320477
AHDC1,AHDC1,61,24,0.0031174442,0.32609984,0.108996645
FGR,FGR,1662,575,0.09596415,0.40368038,0.34089404
IFI6,IFI6,15218,1082,1.2979527,1.434218,0.30836853
FAM76A,FAM76A,171,33,0.008980247,0.35315603,0.18987079
STX12,STX12,1072,178,0.045974106,0.2152081,-0.22247188
PPP1R8,PPP1R8,1198,159,0.055270568,0.60332364,0.93765134
RPA2,RPA2,4550,490,0.1934705,0.38303745,0.27918988
EYA3,EYA3,178,30,0.007534597,0.21792911,-0.21433845
PTAFR,PTAFR,732,77,0.030397676,0.22322643,-0.19850414
ATPIF1,ATPIF1,4279,840,0.1988557,0.32987005,0.12026623
SESN2,SESN2,211,25,0.009022363,0.27584377,-0.041224696
MED18,MED18,410,18,0.016190348,0.25839117,-0.09339257
PHACTR4,PHACTR4,631,100,0.02869507,1.1575959,2.5944364
TRNAU1AP,TRNAU1AP,1073,141,0.0463878,0.4082722,0.35461953
SNHG12,SNHG12,759,140,0.042429622,0.60845155,0.9529792
TAF12,TAF12,2825,380,0.1195641,0.5106368,0.6605994
GMEB1,GMEB1,679,84,0.029184261,0.24930394,-0.120555386
YTHDF2,YTHDF2,3752,337,0.1566382,0.4418242,0.4549104
EPB41,EPB41,1357,170,0.05739321,0.26491544,-0.07389077
SRSF4,SRSF4,3155,364,0.13582145,0.30066094,0.032956753
PUM1,PUM1,892,89,0.03705101,0.4737829,0.55043876
ZCCHC17,ZCCHC17,1311,203,0.05891533,0.27473414,-0.044541508
PEF1,PEF1,2801,274,0.120311454,0.28041533,-0.02755977
SPOCD1,SPOCD1,16,3,0.0012062448,1.1061265,2.4405885
PTP4A2,PTP4A2,3676,644,0.16878426,0.35359102,0.19117104
KPNA6,KPNA6,679,111,0.031534053,0.4933632,0.6089666
CCDC28B,CCDC28B,436,116,0.021722626,0.29180482,0.0064847725
LCK,LCK,5371,970,0.27187556,0.5943754,0.144763
HDAC1,HDAC1,1987,421,0.09611538,0.9936164,2.1042824
MARCKSL1,MARCKSL1,7948,493,0.57427037,1.2991955,0.73205113
BSDC1,BSDC1,1190,198,0.05158747,0.40838164,0.35494664
ZBTB8A,ZBTB8A,74,3,0.0027092914,0.28586146,-0.011280626
ZBTB8OS,ZBTB8OS,1949,209,0.08130295,0.24915406,-0.12100338
RBBP4,RBBP4,1967,298,0.087272346,0.26971564,-0.059542406
YARS,YARS,1360,134,0.06257163,0.46052125,0.5107981
S100PBP,S100PBP,452,82,0.02127644,1.1514499,2.5760655
AK2,AK2,1595,263,0.07692715,0.32536423,0.106797814
TRIM62,TRIM62,72,16,0.0037535098,0.4348637,0.43410462
SMIM12,SMIM12,3476,317,0.14408563,0.53580564,0.73583204
ZMYM1,ZMYM1,173,24,0.007715357,0.7747039,1.4499272
ZMYM4,ZMYM4,491,38,0.020293277,0.28193524,-0.023016555
NCDN,NCDN,114,28,0.006013467,0.3864112,0.2892744
RP4-728D4.2,RP4-728D4.2,86,84,0.0067825685,0.3133474,0.07087809
TFAP2E,TFAP2E,9,5,0.0005344366,0.21989253,-0.20846955
AGO4,AGO4,119,30,0.005467148,0.67808515,1.1611223
AGO3,AGO3,672,68,0.02800075,0.28913873,-0.0014844735
TRAPPC3,TRAPPC3,4606,441,0.19169481,0.60991585,0.9573562
THRAP3,THRAP3,5122,306,0.21345589,0.4163945,0.37889805
EVA1B,EVA1B,199,23,0.007994995,1.1031883,2.4318058
LSM10,LSM10,3431,570,0.15962237,0.28526062,-0.013076622
OSCP1,OSCP1,18,5,0.0007984245,0.23724031,-0.15661497
MRPS15,MRPS15,2401,445,0.11435904,0.36670458,0.23036902
CSF3R,CSF3R,681,311,0.041648272,0.24432103,-0.13544987
LINC01137,LINC01137,152,26,0.0066120415,0.41235483,0.366823
ZC3H12A,ZC3H12A,698,71,0.030356776,0.3258411,0.10822323
MEAF6,MEAF6,4387,737,0.1971941,0.41011116,0.3601164
SNIP1,SNIP1,220,9,0.008237906,0.21711248,-0.21677946
GNL2,GNL2,1429,138,0.0639616,0.34183618,0.15603442
C1orf109,C1orf109,420,53,0.020748636,0.2945106,0.014572676
CDCA8,CDCA8,38,3,0.0012315796,0.22322738,-0.19850129
SF3A3,SF3A3,2371,257,0.10509819,0.46293038,0.5179993
UTP11L,UTP11L,1643,124,0.0680233,0.2573129,-0.09661567
RRAGC,RRAGC,3563,158,0.1469582,0.5068344,0.6492335
AKIRIN1,AKIRIN1,2813,335,0.1261989,0.3384195,0.14582154
HPCAL4,HPCAL4,221,17,0.009229485,0.2385712,-0.15263681
PPIE,PPIE,2211,325,0.10214007,0.6616747,1.1120695
TRIT1,TRIT1,324,36,0.015372719,1.026637,2.2029848
PPT1,PPT1,2517,516,0.11930365,0.65451735,1.0906754
ZMPSTE24,ZMPSTE24,1209,81,0.049990695,0.24383166,-0.13691266
SMAP2,SMAP2,1973,434,0.09555072,0.8134118,1.5656296
ZFP69,ZFP69,99,26,0.0051479144,0.30526206,0.046710048
RP11-656D10.3,RP11-656D10.3,16,3,0.0009839241,0.22131884,-0.20420614
NFYC,NFYC,1422,234,0.06301744,0.4473169,0.4713288
CITED4,CITED4,38,87,0.0055297674,0.7241566,1.2988354
CTPS1,CTPS1,254,63,0.012460925,0.27848303,-0.033335622
PPCS,PPCS,4224,514,0.17997164,0.29748484,0.023463037
CCDC30,CCDC30,85,14,0.0049352315,1.3197836,3.0792348
PPIH,PPIH,945,252,0.048030995,0.22970964,-0.17912506
LEPRE1,LEPRE1,368,57,0.015763232,0.2450287,-0.13333456
C1orf50,C1orf50,1155,149,0.051183082,0.39255884,0.30765045
ERMAP,ERMAP,78,19,0.0040752557,0.65229183,1.084023
SLC2A1,SLC2A1,253,45,0.010452727,0.23300865,-0.16926391
EBNA1BP2,EBNA1BP2,1523,228,0.07764818,0.46203202,0.515314
KDM4A-AS1,KDM4A-AS1,19,5,0.0010534704,0.32666254,0.11067861
ST3GAL3,ST3GAL3,44,26,0.00285092,0.28365865,-0.017865082
DPH2,DPH2,383,47,0.018149804,0.26275608,-0.08034535
ATP6V0B,ATP6V0B,11177,911,0.65060025,0.6816782,-0.21911184
DMAP1,DMAP1,903,168,0.04322198,0.5481309,0.7726738
ERI3,ERI3,727,175,0.03792158,1.7417206,4.340454
TMEM53,TMEM53,98,27,0.005924915,0.7502023,1.376689
RPS8,RPS8,24892,2665,1.7505983,1.2970723,-0.14427699
EIF2B3,EIF2B3,453,98,0.022449253,0.4854233,0.5852333
UROD,UROD,1536,227,0.07052694,0.2710323,-0.055606734
MUTYH,MUTYH,388,80,0.018185599,0.23170853,-0.17315015
TOE1,TOE1,501,44,0.021428777,0.26670712,-0.06853521
TESK2,TESK2,124,11,0.005546573,0.21918848,-0.21057405
CCDC163P,CCDC163P,57,3,0.0023145885,0.30596927,0.04882398
AKR1A1,AKR1A1,3740,398,0.16313744,0.28513774,-0.01344391
NASP,NASP,1914,280,0.08774107,0.25112757,-0.11510433
IPP,IPP,171,41,0.008496356,0.30167234,0.035979953
POMGNT1,POMGNT1,246,54,0.011966292,0.22330338,-0.19827414
UQCRH,UQCRH,7981,1222,0.36281067,0.53882897,-0.007814593
FAAH,FAAH,34,68,0.0045991996,0.81820965,1.579971
ATPAF1,ATPAF1,878,158,0.04154041,0.33769822,0.14366557
EFCAB14,EFCAB14,1058,148,0.04509417,0.47451693,0.55263287
PDZK1IP1,PDZK1IP1,85,6,0.0033983933,0.7156734,1.273478
TAL1,TAL1,24,3,0.0009730136,1.134692,2.525974
CMPK1,CMPK1,5085,1005,0.24224806,0.5856853,0.12089271
FAF1,FAF1,360,104,0.018192546,0.2534876,-0.10804997
OSBPL9,OSBPL9,805,145,0.037196923,0.25117236,-0.11497044
TXNDC12,TXNDC12,3489,480,0.1521131,0.23094708,-0.17542621
KTI12,KTI12,902,88,0.039438415,0.42404792,0.401775
BTF3L4,BTF3L4,2568,320,0.11391455,0.28746974,-0.0064732805
ZFYVE9,ZFYVE9,23,3,0.0018271855,1.7302649,4.3062115
ORC1,ORC1,13,6,0.00075062586,0.21702786,-0.2170324
PRPF38A,PRPF38A,3151,277,0.13238095,0.303949,0.042785157
ZCCHC11,ZCCHC11,1931,161,0.08102935,0.34031758,0.15149513
GPX7,GPX7,867,118,0.03856721,0.24966249,-0.119483635
FAM159A,FAM159A,1145,152,0.053677537,0.35586888,0.19797981
SCP2,SCP2,2603,735,0.13417502,1.0311351,2.2164302
C1orf123,C1orf123,1398,267,0.06440088,0.295914,0.018767579
RP5-1024G6.7,RP5-1024G6.7,20,8,0.0013278783,0.39463308,0.3138506
RP11-117D22.2,RP11-117D22.2,49,15,0.0029325292,0.33330706,0.13053986
HSPB11,HSPB11,1844,190,0.07891826,1.1016998,2.4273567
MRPL37,MRPL37,1226,184,0.057025045,0.34027255,0.15136053
SSBP3,SSBP3,392,85,0.018345797,0.85801053,1.6989405
ACOT11,ACOT11,6,8,0.00056464464,0.3204554,0.092124745
PARS2,PARS2,163,7,0.006085493,0.3079178,0.05464838
JUN,JUN,4961,1992,0.4459446,1.4695586,2.5487592
CYP2J2,CYP2J2,163,3,0.0075005475,0.2618147,-0.0831592
INADL,INADL,164,61,0.0090478,0.30505884,0.046102595
USP1,USP1,2227,164,0.089242324,0.26376715,-0.077323124
ATG4C,ATG4C,401,87,0.01977991,0.38676715,0.2903384
ITGB3BP,ITGB3BP,226,24,0.009229637,0.3258121,0.10813655
EFCAB7,EFCAB7,119,9,0.0054222345,0.38955656,0.29867625
PGM1,PGM1,418,97,0.023033822,1.4315363,3.413277
RAVER2,RAVER2,7,4,0.0005403459,0.2201581,-0.20767574
JAK1,JAK1,9607,535,0.40089682,0.5007753,-0.11234234
LEPROT,LEPROT,2835,203,0.11880833,0.2597471,-0.08933958
PDE4B,PDE4B,2430,114,0.09442499,0.39161882,0.3048406
SLC35D1,SLC35D1,95,22,0.004490586,0.31459936,0.07462036
IL12RB2,IL12RB2,40,9,0.0017819492,0.2233684,-0.19807975
SERBP1,SERBP1,7178,926,0.34628534,0.4864202,-0.15177353
GADD45A,GADD45A,524,101,0.02783737,0.54860985,0.77410537
LRRC40,LRRC40,502,55,0.021910558,0.2480933,-0.1241741
SRSF11,SRSF11,4494,661,0.20960787,0.37338376,0.25033385
HHLA3,HHLA3,176,41,0.008505467,0.25707212,-0.09733537
CTH,CTH,104,3,0.004368104,0.5197303,0.68778104
ZRANB2,ZRANB2,2897,244,0.11940742,0.28563887,-0.011945985
LRRIQ3,LRRIQ3,42,9,0.0041086525,3.4080086,9.321186
FPGT,FPGT,240,35,0.01004502,0.46393377,0.52099854
TYW3,TYW3,735,74,0.03372383,0.55236113,0.7853184
ACADM,ACADM,1395,213,0.062183525,0.50148386,0.63324016
RABGGTB,RABGGTB,1417,234,0.06434972,0.23415393,-0.16584055
PIGK,PIGK,707,79,0.03053525,0.35433623,0.19339855
ZZZ3,ZZZ3,343,60,0.016479164,0.55596757,0.7960984
USP33,USP33,971,122,0.040800247,0.33628258,0.13943405
NEXN,NEXN,2183,26,0.102159716,0.69771594,1.2198011
DNAJB4,DNAJB4,1273,17,0.053808372,0.4184293,0.38498026
IFI44L,IFI44L,8834,711,0.50084156,0.7259552,-0.1509119
IFI44,IFI44,6395,295,0.2996773,0.51367176,-0.07691766
RP5-887A10.1,RP5-887A10.1,49,36,0.005489834,0.70982313,1.2559909
RP11-486G15.2,RP11-486G15.2,46,6,0.002267512,0.33922973,0.14824344
PRKACB,PRKACB,408,126,0.021484235,0.58852625,0.89342016
RPF1,RPF1,2074,336,0.09499704,0.24601126,-0.1303976
SSX2IP,SSX2IP,160,11,0.006736609,0.24237071,-0.14127962
MCOLN3,MCOLN3,48,5,0.003588012,1.5053643,3.6339576
SYDE2,SYDE2,32,7,0.0015456992,0.3290809,0.117907405
C1orf52,C1orf52,2137,165,0.09059028,0.30279732,0.039342646
ZNHIT6,ZNHIT6,297,40,0.01307005,0.28598738,-0.0109042525
ODF2L,ODF2L,3435,329,0.1571595,0.45589715,0.49697614
HS2ST1,HS2ST1,180,45,0.008524634,0.23197977,-0.17233936
LMO4,LMO4,1186,205,0.05697523,0.3468612,0.17105484
PKN2,PKN2,1063,89,0.043189306,0.35778195,0.20369819
GTF2B,GTF2B,4184,265,0.17379762,0.3957023,0.3170466
CCBL2,CCBL2,731,145,0.03466189,0.22896649,-0.18134642
GBP3,GBP3,2701,88,0.10998492,0.28116208,-0.025327627
GBP1,GBP1,10028,287,0.68709886,1.2019943,0.5823319
GBP2,GBP2,9661,525,0.4593072,0.5879003,0.12697689
GBP4,GBP4,7162,150,0.36479205,0.6653446,0.33970475
GBP5,GBP5,4177,203,0.21362603,0.5948924,0.9124493
LRRC8B,LRRC8B,87,28,0.005219539,0.70165306,1.2315695
LRRC8C,LRRC8C,504,76,0.022202017,0.27231857,-0.051761925
RP5-943J3.2,RP5-943J3.2,23,9,0.0015105753,0.54985213,0.7778187
ZNF644,ZNF644,959,76,0.039045338,0.30696443,0.051798627
CDC7,CDC7,58,9,0.0027269372,0.32171917,0.095902294
TGFBR3,TGFBR3,222,49,0.010574192,0.3548158,0.19483207
GLMN,GLMN,477,86,0.020938912,0.24170047,-0.14328305
RPAP2,RPAP2,726,84,0.031219449,0.46800417,0.53316545
GFI1,GFI1,434,28,0.016371183,0.41026074,0.3605635
RPL5,RPL5,19708,2615,1.306122,1.2809573,0.058744647
MTF2,MTF2,1886,225,0.08176004,0.37739325,0.26231867
TMED5,TMED5,2605,244,0.1072336,0.66831005,1.1319034
CCDC18,CCDC18,220,78,0.011984843,0.9999991,2.123361
DNTTIP2,DNTTIP2,4146,289,0.17553288,0.29950953,0.029515045
CNN3,CNN3,299,18,0.0117087355,0.4298474,0.41911033
ALG14,ALG14,119,32,0.0054796934,0.30465668,0.04490051
RWDD3,RWDD3,40,14,0.0021904593,0.25452694,-0.10494321
PTBP2,PTBP2,83,20,0.004401555,0.4120325,0.36585954
AGL,AGL,200,42,0.00905195,0.26986456,-0.05909726
SLC35A3,SLC35A3,450,76,0.021164002,0.30483308,0.04542779
HIAT1,HIAT1,2569,109,0.09909764,0.2184526,-0.21277367
SASS6,SASS6,271,40,0.0119030615,0.2565917,-0.09877138
TRMT13,TRMT13,842,97,0.03764222,0.31756443,0.08348328
RTCA,RTCA,1279,203,0.0575241,0.25986862,-0.088976294
EXTL2,EXTL2,105,22,0.005551153,0.4390329,0.44656694
RP4-549L20.3,RP4-549L20.3,13,4,0.00081353943,0.3183066,0.085701704
SLC30A7,SLC30A7,646,98,0.029646242,0.41020903,0.36040893
DPH5,DPH5,773,208,0.039909802,0.3765003,0.2596496
RP11-421L21.2,RP11-421L21.2,32,5,0.0015502914,0.60716546,0.94913495
RP11-421L21.3,RP11-421L21.3,460,53,0.020598527,0.6126345,0.96548253
RP4-575N6.4,RP4-575N6.4,283,30,0.012220999,0.22816916,-0.18372974
S1PR1,S1PR1,845,88,0.03674597,0.54538745,0.7644732
PRMT6,PRMT6,280,21,0.011963315,0.27087468,-0.05607789
VAV3,VAV3,558,37,0.02149207,0.4094122,0.35802713
VAV3-AS1,VAV3-AS1,82,6,0.0036587077,0.8093699,1.553548
HENMT1,HENMT1,685,122,0.032742165,0.48471457,0.5831148
PRPF38B,PRPF38B,3195,438,0.14112452,0.30029726,0.03186968
STXBP3,STXBP3,1223,109,0.04977537,0.27500707,-0.04372569
WDR47,WDR47,164,13,0.0070935097,0.8121794,1.5619458
TMEM167B,TMEM167B,1465,166,0.06106265,0.22808784,-0.1839728
KIAA1324,KIAA1324,46,16,0.0022379244,0.39288732,0.3086323
SARS,SARS,3457,377,0.1580072,0.50766134,0.6517054
AMIGO1,AMIGO1,33,6,0.0013275344,0.32667142,0.11070516
GNAI3,GNAI3,2720,386,0.119305626,0.2526006,-0.11070124
GSTM3,GSTM3,446,73,0.019615676,0.36015156,0.21078125
CSF1,CSF1,77,10,0.0037114823,0.274936,-0.043938152
RP4-773N10.4,RP4-773N10.4,12,3,0.00053154334,0.2706946,-0.056616127
SLC16A4,SLC16A4,93,14,0.0038060427,0.2698506,-0.05913895
RP5-1074L1.4,RP5-1074L1.4,17,5,0.0008825393,0.21458326,-0.22433959
KCNA3,KCNA3,683,91,0.030442968,0.2923203,0.008025635
LRIF1,LRIF1,1218,111,0.0526485,0.40132204,0.33384466
DRAM2,DRAM2,1776,435,0.08564219,0.74468464,1.360196
CEPT1,CEPT1,1018,153,0.045870367,0.43235257,0.4265986
DENND2D,DENND2D,2114,433,0.10622681,0.7253596,1.3024312
CHI3L2,CHI3L2,767,108,0.036165144,0.7844314,1.4790038
WDR77,WDR77,778,162,0.038981613,0.27881694,-0.03233754
C1orf162,C1orf162,3960,1034,0.2417374,0.8397971,0.8188994
ADORA3,ADORA3,138,3,0.005830551,0.6334584,1.0277276
DDX20,DDX20,698,44,0.029909989,0.582887,0.8765638
ST7L,ST7L,317,78,0.015302613,0.7722746,1.4426657
RHOC,RHOC,2483,501,0.12990795,0.3412419,0.15425803
SLC16A1,SLC16A1,175,28,0.008557367,0.26578674,-0.07128635
RP11-389O22.1,RP11-389O22.1,5,4,0.00041993902,0.40179285,0.335252
LRIG2,LRIG2,123,29,0.00628808,0.5125621,0.66635436
RSBN1,RSBN1,1306,206,0.06200464,0.47382763,0.55057245
PTPN22,PTPN22,820,97,0.03443533,0.31615534,0.07927136
AP4B1-AS1,AP4B1-AS1,15,7,0.00082774024,0.46004105,0.5093627
AP4B1,AP4B1,286,46,0.01314888,0.44740832,0.471602
RP5-1073O3.7,RP5-1073O3.7,84,66,0.006242489,0.87155724,1.7394332
HIPK1,HIPK1,447,111,0.022696199,0.40218306,0.33641836
BCAS2,BCAS2,3994,431,0.18574269,0.5404867,0.7498243
SIKE1,SIKE1,1420,123,0.062881015,0.6203622,0.98858166
TSPAN2,TSPAN2,631,63,0.026878899,0.62196076,0.99335986
ATP1A1,ATP1A1,4924,523,0.21117216,0.32113957,0.09416982
CD58,CD58,4156,148,0.17102212,0.2639556,-0.07675986
CD2,CD2,7988,856,0.4123811,0.93705094,1.0860411
TTF2,TTF2,294,27,0.0128341075,0.37577292,0.25747535
MAN1A2,MAN1A2,629,83,0.027211145,0.39254314,0.3076035
FAM46C,FAM46C,976,119,0.04186437,0.34236276,0.15760843
WDR3,WDR3,532,40,0.023706626,0.2893104,-0.00097135734
WARS2,WARS2,369,33,0.019097146,0.8313178,1.6191528
RP11-418J17.1,RP11-418J17.1,23,15,0.001705923,0.24905194,-0.121308625
PHGDH,PHGDH,245,20,0.014423396,0.44030994,0.4503841
REG4,REG4,187,16,0.010963292,0.76473504,1.4201291
